"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BGR","POVERTY","TOT","RT","A","2015",0.168,
"BGR","POVERTY","TOT","RT","A","2016",0.169,
"BGR","POVERTY","TOT","RT","A","2017",0.162,
"ROU","POVERTY","TOT","RT","A","2009",0.16,
"ROU","POVERTY","TOT","RT","A","2010",0.167,
"ROU","POVERTY","TOT","RT","A","2011",0.167,
"ROU","POVERTY","TOT","RT","A","2012",0.165,
"ROU","POVERTY","TOT","RT","A","2013",0.182,
"ROU","POVERTY","TOT","RT","A","2014",0.187,
"ROU","POVERTY","TOT","RT","A","2015",0.193,
"ROU","POVERTY","TOT","RT","A","2016",0.18,
"ROU","POVERTY","TOT","RT","A","2017",0.179,
